msa_match_key,msa_name,indian_pop,indian_pop_cagr,advanced_degrees,advanced_degree_cagr,median_home_value,median_income,indian_pop_hybrid,msa_name_zillow,price_start,price_end,appreciation_pct,appreciation_cagr,algorithm_score,algorithm_rank
brookings,"Brookings, SD Micro Area",27,0.0,2343,24.26596828712031,172300,56370.0,0.0,"Brookings, OR",313846.14190309535,452480.7942197024,44.1728075661394,7.5911801300761805,0.0,1022.0
brookings,"Brookings, OR Micro Area",0,0.0,1397,-13.440068837955565,251500,46396.0,0.0,"Brookings, SD",199686.58670917244,278851.05120234395,39.64435758946006,6.906639581957963,0.0,1022.0
brookings,"Brookings, OR Micro Area",0,0.0,1397,-13.440068837955565,251500,46396.0,0.0,"Brookings, OR",313846.14190309535,452480.7942197024,44.1728075661394,7.5911801300761805,0.0,1022.0
brookings,"Brookings, SD Micro Area",27,0.0,2343,2.8431878001744737,172300,56370.0,0.0,"Brookings, SD",199686.58670917244,278851.05120234395,39.64435758946006,6.906639581957963,0.0,1022.0
brookings,"Brookings, SD Micro Area",27,0.0,2343,2.8431878001744737,172300,56370.0,0.0,"Brookings, OR",313846.14190309535,452480.7942197024,44.1728075661394,7.5911801300761805,0.0,1022.0
brownsville,"Brownsville, TN Micro Area",0,-100.0,574,-59.8218865658015,102200,38362.0,-0.0,"Brownsville, TX",127295.06354698022,195568.28045992728,53.63382916082191,8.96759630968913,-0.0,1022.0
brownsville,"Brownsville-Harlingen, TX Metro Area",9,-41.07992680955128,10600,6.199106990573111,83300,37132.0,-39.20021244633001,"Brownsville, TX",127295.06354698022,195568.28045992728,53.63382916082191,8.96759630968913,-39.20021244633001,1800.0
chico,"Chico, CA Metro Area",83,22.637096421991497,10084,3.169046690277977,248100,48443.0,43.44235581844869,"Chico, CA",296253.636070226,385836.2074651749,30.23847152840129,5.426031318083124,43.44235581844869,292.0
chillicothe,"Chillicothe, OH Micro Area",0,-100.0,2920,5.326794008855806,120900,48403.0,-0.0,"Chillicothe, OH",119613.7185510675,180937.71708659045,51.26836560084156,8.629960822025161,-0.0,1022.0
cincinnati,"Cincinnati, OH-KY-IN Metro Area",371,-5.811695353399038,152590,4.104208103341378,163100,61870.0,-14.932418411654483,"Cincinnati, OH",182848.94610950677,277413.38014635193,51.717243139159955,8.694354687255434,-14.932418411654483,1589.0
clarksburg,"Clarksburg, WV Micro Area",0,0.0,4347,7.614565030941334,112300,49467.0,0.0,"Clarksburg, WV",113967.711414308,143888.59599600514,26.253825939283317,4.7728866480097665,0.0,1022.0
clarksdale,"Clarksdale, MS Micro Area",0,0.0,696,2.3579346594376327,67200,30009.0,0.0,"Clarksdale, MS",47630.71916375758,50477.75309202686,5.97730619703849,1.1678627369959171,0.0,1022.0
clarksville,"Clarksville, TN-KY Metro Area",71,-18.25930384084369,12817,5.674983868906258,149500,51933.0,-33.802688677160155,"Clarksville, TN",173824.02803548746,288199.8210822923,65.79975987177917,10.641175037769735,-33.802688677160155,1763.0
clearlake,"Clearlake, CA Micro Area",0,-100.0,1937,-0.22271788654099067,195400,42475.0,-0.0,"Clearlake, CA",249921.75654630747,314229.0208792809,25.730958849538222,4.6859613288879,-0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,0.0,1586,3.925073511666999,94700,29912.0,0.0,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,0.0,1586,3.925073511666999,94700,29912.0,0.0,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,0.0,1586,3.925073511666999,94700,29912.0,0.0,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,0.0,5585,58.11036401269165,150100,47046.0,0.0,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,0.0,5585,58.11036401269165,150100,47046.0,0.0,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,0.0,5585,58.11036401269165,150100,47046.0,0.0,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,0.0,1022.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,0.0,139571,362.2579008165655,146800,54273.0,0.0,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,0.0,1022.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,0.0,139571,362.2579008165655,146800,54273.0,0.0,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,0.0,1022.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,0.0,139571,362.2579008165655,146800,54273.0,0.0,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,0.0,1586,-29.189812640837477,94700,29912.0,0.0,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,0.0,1586,-29.189812640837477,94700,29912.0,0.0,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,0.0,1586,-29.189812640837477,94700,29912.0,0.0,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,0.0,5585,7.729772237372523,150100,47046.0,0.0,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,0.0,5585,7.729772237372523,150100,47046.0,0.0,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,0.0,5585,7.729772237372523,150100,47046.0,0.0,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,0.0,1022.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,0.0,139571,214.96315046050452,146800,54273.0,0.0,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,0.0,1022.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,0.0,139571,214.96315046050452,146800,54273.0,0.0,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,0.0,1022.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,0.0,139571,214.96315046050452,146800,54273.0,0.0,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,-100.0,1586,-76.97887064369874,94700,29912.0,-0.0,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,-0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,-100.0,1586,-76.97887064369874,94700,29912.0,-0.0,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,-0.0,1022.0
cleveland,"Cleveland, MS Micro Area",0,-100.0,1586,-76.97887064369874,94700,29912.0,-0.0,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,-0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,-100.0,5585,-64.975929104352,150100,47046.0,-0.0,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,-0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,-100.0,5585,-64.975929104352,150100,47046.0,-0.0,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,-0.0,1022.0
cleveland,"Cleveland, TN Metro Area",0,-100.0,5585,-64.975929104352,150100,47046.0,-0.0,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,-0.0,1022.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,6.48140691441601,139571,2.397800367932934,146800,54273.0,17.46483276798936,"Cleveland, OH",147778.12177397453,216590.2527331322,46.56449150463915,7.945800951630777,17.46483276798936,417.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,6.48140691441601,139571,2.397800367932934,146800,54273.0,17.46483276798936,"Cleveland, TN",172963.68085924152,288204.7300754883,66.62731079944486,10.751403122623948,17.46483276798936,417.0
cleveland,"Cleveland-Elyria, OH Metro Area",495,6.48140691441601,139571,2.397800367932934,146800,54273.0,17.46483276798936,"Cleveland, MS",155013.6892601654,130539.32532946962,-15.78851780607552,-3.3783916815745108,17.46483276798936,417.0
clewiston,"Clewiston, FL Micro Area",0,-100.0,847,3.907162733709435,82000,40728.0,-0.0,"Clewiston, FL",144276.66255396794,285006.9949006976,97.54199317861838,14.586086295570544,-0.0,1022.0
clinton,"Clinton, IA Micro Area",12,0.0,1598,0.42070331284520535,114900,50156.0,0.0,"Clinton, IA",119610.93881186134,161643.69905237327,35.14123428679561,6.208084493603017,0.0,1022.0
clovis,"Clovis, NM Micro Area",25,-8.839082067855198,1789,-7.900285044732513,127700,46182.0,-12.35650646259035,"Clovis, NM",138246.4958823075,159939.64849524244,15.691647353870607,2.9580719238663233,-12.35650646259035,1572.0
coeur d'alene,"Coeur d'Alene, ID Metro Area",9,65.09636244473134,6938,5.880648676198774,237400,54457.0,62.117716254632256,"Coeur d'Alene, ID",310281.2558252005,562067.823225841,81.1478497890593,12.617695645143812,62.117716254632256,234.0
coffeyville,"Coffeyville, KS Micro Area",13,13.040381433805548,1046,-3.911231699854578,75000,45173.0,14.526246209733186,"Coffeyville, KS",62950.12133650231,87709.63929226242,39.33196224262565,6.858765020742141,14.526246209733186,449.0
coldwater,"Coldwater, MI Micro Area",22,0.0,1157,-0.028793551836425735,104100,50536.0,0.0,"Coldwater, MI",140956.39447544026,191346.62472533455,35.74880759217638,6.303412117593066,0.0,1022.0
college station,"College Station-Bryan, TX Metro Area",59,-35.70660699421118,20008,4.359207624841388,172400,48213.0,-63.23111682461432,"College Station, TX",227832.51242733948,294283.05698763166,29.16640116563023,5.251892112491019,-63.23111682461432,1912.0
colorado springs,"Colorado Springs, CO Metro Area",623,33.304281798954975,60582,4.814737250496481,255200,65335.0,93.06841738974822,"Colorado Springs, CO",310624.93665115646,453953.8546434664,46.14211580613497,7.883512560786077,93.06841738974822,200.0
columbia,"Columbia, MO Metro Area",88,-27.92163335278255,17336,0.6960102339647722,179800,54043.0,-54.29313223261589,"Columbia, SC",153638.10095080404,239908.1543369064,56.151470795467986,9.322414718684001,-54.29313223261589,1874.5
columbia,"Columbia, MO Metro Area",88,-27.92163335278255,17336,0.6960102339647722,179800,54043.0,-54.29313223261589,"Columbia, MO",189722.4910807861,285292.36591511744,50.37350832255125,8.501131304549258,-54.29313223261589,1874.5
columbia,"Columbia, SC Metro Area",609,37.35668791315747,55723,48.607522464724816,149700,54491.0,104.02407915846781,"Columbia, SC",153638.10095080404,239908.1543369064,56.151470795467986,9.322414718684001,104.02407915846781,177.5
columbia,"Columbia, SC Metro Area",609,37.35668791315747,55723,48.607522464724816,149700,54491.0,104.02407915846781,"Columbia, MO",189722.4910807861,285292.36591511744,50.37350832255125,8.501131304549258,104.02407915846781,177.5
columbia,"Columbia, MO Metro Area",88,-38.31913321089677,17336,-30.189508210768523,179800,54043.0,-74.51089054040283,"Columbia, SC",153638.10095080404,239908.1543369064,56.151470795467986,9.322414718684001,-74.51089054040283,1935.5
